birdnet_scientific_name,avilist_scientific_name,avibase_id,cornell_code,match_method
Abroscopus albogularis,Abroscopus albogularis,avibase-684016CB,rufwar1,exact
Abroscopus schisticeps,Abroscopus schisticeps,avibase-0FD03AFF,blfwar1,exact
Abroscopus superciliaris,Abroscopus superciliaris,avibase-A8F5D21F,yebwar1,exact
Aburria aburri,Aburria aburri,avibase-50A42775,watgua1,exact
Acanthagenys rufogularis,Acanthagenys rufogularis,avibase-BFB1C22E,spchon1,exact
Acanthidops bairdi,Acanthidops bairdi,avibase-5CCF7540,pebfin1,exact
Acanthis flammea,Acanthis flammea,avibase-B6C8DDB2,redpol1,exact
Acanthisitta chloris,Acanthisitta chloris,avibase-7D5E37D9,riflem1,exact
Acanthiza apicalis,Acanthiza apicalis,avibase-4413633D,inltho1,exact
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,avibase-B1B0E343,yertho1,exact
Acanthiza ewingii,Acanthiza ewingii,avibase-14B92847,tastho1,exact
Acanthiza inornata,Acanthiza inornata,avibase-6601168A,westho1,exact
Acanthiza lineata,Acanthiza lineata,avibase-D0A0845A,strtho1,exact
Acanthiza nana,Acanthiza nana,avibase-D6D77AFA,yeltho1,exact
Acanthiza pusilla,Acanthiza pusilla,avibase-8F6C8E9E,brotho1,exact
Acanthiza reguloides,Acanthiza reguloides,avibase-7B1144C8,burtho1,exact
Acanthiza uropygialis,Acanthiza uropygialis,avibase-27F7E242,chrtho1,exact
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,avibase-C5ACCD75,wesspi1,exact
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,avibase-A542D690,easspi1,exact
Accipiter badius,Tachyspiza badia,avibase-1A0ECB6E,shikra1,clements_english
Accipiter bicolor,Astur bicolor,avibase-FB27427B,bichaw1,clements_english
Accipiter cirrocephalus,Tachyspiza cirrocephala,avibase-EFCC56CD,colspa1,clements_english
Accipiter cooperii,Astur cooperii,avibase-EB98812F,coohaw,clements_english
Accipiter fasciatus,Tachyspiza fasciata,avibase-6024AA3F,brogos1,clements_english
Accipiter gentilis,Astur gentilis,avibase-95DD1855,norgos1,override
Accipiter gularis,Tachyspiza gularis,avibase-1E49FE52,japspa1,clements_english
Accipiter hiogaster,Tachyspiza hiogaster,avibase-A4AAB528,vargos1,clements_english
Accipiter melanoleucus,Astur melanoleucus,avibase-819AB823,blagos1,clements_english
Accipiter minullus,Tachyspiza minulla,avibase-CE1CF6FD,litspa1,clements_english
Accipiter nisus,Accipiter nisus,avibase-DB376A66,eurspa1,exact
Accipiter novaehollandiae,Tachyspiza novaehollandiae,avibase-CFB9E213,grygos1,clements_english
Accipiter poliogaster,Accipiter poliogaster,avibase-707547BB,gybhaw1,exact
Accipiter soloensis,Tachyspiza soloensis,avibase-D188E45C,grfhaw1,clements_english
Accipiter striatus,Accipiter striatus,avibase-3B024163,shshaw,exact
Accipiter superciliosus,Microspizias superciliosus,avibase-F23F7695,tinhaw1,clements_english
Accipiter tachiro,Aerospiza tachiro,avibase-35A1472C,afrgos1,clements_english
Accipiter trinotatus,Tachyspiza trinotata,avibase-0BED8100,sptgos1,clements_english
Accipiter trivirgatus,Lophospiza trivirgata,avibase-0D4EE0EB,cregos1,clements_english
Accipiter virgatus,Tachyspiza virgata,avibase-A59A2D4D,besra1,clements_english
Aceros nipalensis,Aceros nipalensis,avibase-01391B1A,runhor1,exact
Achaetops pycnopygius,Achaetops pycnopygius,avibase-35C5E4AF,damroc1,exact
Acridotheres burmannicus,Acridotheres burmannicus,avibase-A0FB9485,vibsta1,exact
Acridotheres cristatellus,Acridotheres cristatellus,avibase-65BCBB64,cremyn,exact
Acridotheres fuscus,Acridotheres fuscus,avibase-8724C64A,junmyn1,exact
Acridotheres ginginianus,Acridotheres ginginianus,avibase-F8CFF92C,banmyn1,exact
Acridotheres grandis,Acridotheres grandis,avibase-B483CC1C,whvmyn1,exact
Acridotheres javanicus,Acridotheres javanicus,avibase-D70B61EE,whvmyn,exact
Acridotheres tristis,Acridotheres tristis,avibase-F23A2F38,commyn,exact
Acrobatornis fonsecai,Acrobatornis fonsecai,avibase-E4FC9402,pilgra1,exact
Acrocephalus agricola,Acrocephalus agricola,avibase-781FE53F,padwar1,exact
Acrocephalus arundinaceus,Acrocephalus arundinaceus,avibase-B283E332,grrwar1,exact
Acrocephalus australis,Acrocephalus australis,avibase-9597E0CA,aurwar1,exact
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,avibase-1DB9A114,bbrwar1,exact
Acrocephalus concinens,Acrocephalus concinens,avibase-F084CA99,blwwar1,exact
Acrocephalus dumetorum,Acrocephalus dumetorum,avibase-B22EAFC8,blrwar1,exact
Acrocephalus gracilirostris,Acrocephalus gracilirostris,avibase-4AA7817D,leswar1,exact
Acrocephalus griseldis,Acrocephalus griseldis,avibase-0D42A253,barwar2,exact
Acrocephalus melanopogon,Acrocephalus melanopogon,avibase-E1559C49,mouwar1,exact
Acrocephalus newtoni,Acrocephalus newtoni,avibase-6ED7C46F,maswar1,exact
Acrocephalus orientalis,Acrocephalus orientalis,avibase-9A6953ED,orrwar1,exact
Acrocephalus paludicola,Acrocephalus paludicola,avibase-C15141A6,aquwar1,exact
Acrocephalus palustris,Acrocephalus palustris,avibase-B675E006,marwar3,exact
Acrocephalus rufescens,Acrocephalus rufescens,avibase-C8857CC8,grswar2,exact
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,avibase-FED5AED5,sedwar1,exact
Acrocephalus scirpaceus,Acrocephalus scirpaceus,avibase-3F0EE474,eurwar1,exact
Acrocephalus stentoreus,Acrocephalus stentoreus,avibase-D793DF5A,clrwar1,exact
Acrocephalus tangorum,Acrocephalus tangorum,avibase-A5134675,manrew1,exact
Acropternis orthonyx,Acropternis orthonyx,avibase-6B6D07C9,ocetap1,exact
Actenoides concretus,Actenoides concretus,avibase-4A150CE8,ruckin1,exact
Actenoides lindsayi,Actenoides lindsayi,avibase-0FDF970A,spokin1,exact
Actenoides monachus,Actenoides monachus,avibase-1D15CDDD,grbkin1,exact
Actinodura cyanouroptera,Actinodura cyanouroptera,avibase-A6704D52,blwmin1,exact
Actinodura egertoni,Actinodura egertoni,avibase-34B1C50C,rufbar1,exact
Actinodura nipalensis,Actinodura nipalensis,avibase-05F6BA7F,hotbar1,exact
Actinodura ramsayi,Actinodura ramsayi,avibase-6D30E624,spebar1,exact
Actinodura strigula,Actinodura strigula,avibase-55B3A7AF,chtmin1,exact
Actinodura waldeni,Actinodura waldeni,avibase-EE65C146,sttbar1,exact
Actitis hypoleucos,Actitis hypoleucos,avibase-8548B07E,comsan,exact
Actitis macularius,Actitis macularius,avibase-0D88C072,sposan,exact
Actophilornis africanus,Actophilornis africanus,avibase-D16D486D,afrjac1,exact
Adelomyia melanogenys,Adelomyia melanogenys,avibase-0A1A1F0F,spehum1,exact
Aechmophorus clarkii,Aechmophorus clarkii,avibase-D05FFEF7,clagre,exact
Aechmophorus occidentalis,Aechmophorus occidentalis,avibase-C6E1197B,wesgre,exact
Aegithalos caudatus,Aegithalos caudatus,avibase-547163C2,lottit1,exact
Aegithalos concinnus,Aegithalos concinnus,avibase-94C5E135,blttit2,exact
Aegithalos glaucogularis,Aegithalos glaucogularis,avibase-67134AC3,lottit5,exact
Aegithalos iouschistos,Aegithalos iouschistos,avibase-BBE88519,bkbtit3,exact
Aegithalos niveogularis,Aegithalos niveogularis,avibase-E6E37DE5,whttit1,exact
Aegithina nigrolutea,Aegithina nigrolutea,avibase-C3E4EF0E,whtior1,exact
Aegithina tiphia,Aegithina tiphia,avibase-EEC311EA,comior1,exact
Aegithina viridissima,Aegithina viridissima,avibase-418B6BE2,greior2,exact
Aegolius acadicus,Aegolius acadicus,avibase-26BA25EF,nswowl,exact
Aegolius funereus,Aegolius funereus,avibase-8AB4EAF6,borowl,exact
Aegolius harrisii,Aegolius harrisii,avibase-10C68CA3,bufowl1,exact
Aegolius ridgwayi,Aegolius ridgwayi,avibase-6439759F,uswowl1,exact
Aegotheles cristatus,Aegotheles cristatus,avibase-175A7534,auonig1,exact
Aegypius monachus,Aegypius monachus,avibase-158BDC90,cinvul1,exact
Aerodramus bartschi,Aerodramus bartschi,avibase-F8E58F0F,marswi,exact
Aerodramus fuciphagus,Aerodramus fuciphagus,avibase-FF38B8FB,y00731,exact
Aerodramus maximus,Aerodramus maximus,avibase-76179577,blnswi1,exact
Aeronautes andecolus,Aeronautes andecolus,avibase-B9CF96D5,andswi1,exact
Aeronautes montivagus,Aeronautes montivagus,avibase-A3093269,whtswi1,exact
Aeronautes saxatalis,Aeronautes saxatalis,avibase-B401C2DD,whtswi,exact
Aethia pusilla,Aethia pusilla,avibase-044509DA,leaauk,exact
Aethia pygmaea,Aethia pygmaea,avibase-E3893615,whiauk,exact
Aethopyga christinae,Aethopyga christinae,avibase-828EAC60,fotsun1,exact
Aethopyga gouldiae,Aethopyga gouldiae,avibase-6A4A67F7,gousun1,exact
Aethopyga ignicauda,Aethopyga ignicauda,avibase-FCD9D132,fitsun1,exact
Aethopyga nipalensis,Aethopyga nipalensis,avibase-02BA43E4,grtsun1,exact
Aethopyga saturata,Aethopyga saturata,avibase-E1067234,bltsun1,exact
Aethopyga siparaja,Aethopyga siparaja,avibase-EC22F3AA,eacsun1,exact
Aethopyga temminckii,Aethopyga temminckii,avibase-F89D732E,temsun1,exact
Aethopyga vigorsii,Aethopyga vigorsii,avibase-88A56D18,wecsun1,exact
Agapornis canus,Agapornis canus,avibase-D4686ACD,gyhlov1,exact
Agapornis fischeri,Agapornis fischeri,avibase-E1EE00F7,fislov1,exact
Agapornis personatus,Agapornis personatus,avibase-4396F4F1,yeclov,exact
Agapornis roseicollis,Agapornis roseicollis,avibase-31C03CB8,peflov,exact
Agapornis taranta,Agapornis taranta,avibase-39DAF131,blwlov1,exact
Agelaioides badius,Agelaioides badius,avibase-F888C888,bawcow4,exact
Agelaius phoeniceus,Agelaius phoeniceus,avibase-C86D078E,rewbla,exact
Agelaius tricolor,Agelaius tricolor,avibase-80285D5C,tribla,exact
Agelasticus cyanopus,Agelasticus cyanopus,avibase-B5792FEE,unibla2,exact
Agelasticus thilius,Agelasticus thilius,avibase-11755EFA,yewbla2,exact
Agelasticus xanthophthalmus,Agelasticus xanthophthalmus,avibase-9A0C6612,paebla2,exact
Aglaiocercus coelestis,Aglaiocercus coelestis,avibase-C1C10CEC,vitsyl1,exact
Aglaiocercus kingii,Aglaiocercus kingii,avibase-F9C6A653,lotsyl1,exact
Agriornis montanus,Agriornis montanus,avibase-78427CA9,bkbsht1,exact
Agropsar philippensis,Agropsar philippensis,avibase-FDA38B76,chcsta1,exact
Agropsar sturninus,Agropsar sturninus,avibase-2FC5C397,dausta1,exact
Ailuroedus crassirostris,Ailuroedus crassirostris,avibase-D24C5470,grecat1,exact
Ailuroedus maculosus,Ailuroedus maculosus,avibase-128E6559,spocat2,exact
Aimophila notosticta,Aimophila notosticta,avibase-D787A400,oaxspa1,exact
Aimophila rufescens,Aimophila rufescens,avibase-B1BE75EB,russpa1,exact
Aimophila ruficeps,Aimophila ruficeps,avibase-7784B060,rucspa,exact
Aix galericulata,Aix galericulata,avibase-E1714A09,manduc,exact
Aix sponsa,Aix sponsa,avibase-27B2749A,wooduc,exact
Akletos goeldii,Akletos goeldii,avibase-1CE684D6,goeant1,exact
Akletos melanoceps,Akletos melanoceps,avibase-B1392808,whsant1,exact
Alaemon alaudipes,Alaemon alaudipes,avibase-3E4513D9,grhlar1,exact
Alauda arvensis,Alauda arvensis,avibase-ED2AC04E,skylar,exact
Alauda gulgula,Alauda gulgula,avibase-E988F1D5,orisky1,exact
Alaudala cheleensis,Alaudala cheleensis,avibase-399A4A3E,lstlar2,exact
Alaudala heinei,Alaudala heinei,avibase-238EC109,tstlar1,exact
Alaudala raytal,Alaudala raytal,avibase-862C271E,sanlar1,exact
Alaudala rufescens,Alaudala rufescens,avibase-FE1FE185,mstlar1,exact
Alaudala somalica,Alaudala somalica,avibase-61CECCA7,sstlar1,exact
Alca torda,Alca torda,avibase-64F4DD81,razorb,exact
Alcedo atthis,Alcedo atthis,avibase-9505E03D,comkin1,exact
Alcedo meninting,Alcedo meninting,avibase-39629250,blekin1,exact
Alcippe brunneicauda,Alcippe brunneicauda,avibase-2EAEE9C9,broful1,exact
Alcippe fratercula,Alcippe fratercula,avibase-A62C0342,gycful4,exact
Alcippe hueti,Alcippe hueti,avibase-EE1BC181,gycful5,exact
Alcippe morrisonia,Alcippe morrisonia,avibase-F8788273,gycful1,exact
Alcippe nipalensis,Alcippe nipalensis,avibase-735DD267,nepful1,exact
Alcippe peracensis,Alcippe peracensis,avibase-493A2E85,mouful1,exact
Alcippe poioicephala,Alcippe poioicephala,avibase-E4C78D6C,brcful1,exact
Alcippe pyrrhoptera,Alcippe pyrrhoptera,avibase-C2737F2A,javful1,exact
Aleadryas rufinucha,Aleadryas rufinucha,avibase-1F4DF785,runwhi1,exact
Alectoris barbara,Alectoris barbara,avibase-D44B2846,barpar2,exact
Alectoris chukar,Alectoris chukar,avibase-87CBEBF7,chukar,exact
Alectoris graeca,Alectoris graeca,avibase-44437074,rocpar2,exact
Alectoris rufa,Alectoris rufa,avibase-F71E0BE6,relpar1,exact
Alectura lathami,Alectura lathami,avibase-6BD20F58,ausbrt1,exact
Alethe castanea,Alethe castanea,avibase-DA4D7386,ficale2,exact
Alethe diademata,Alethe diademata,avibase-ECD2AB67,ficale3,exact
Alipiopsitta xanthops,Alipiopsitta xanthops,avibase-032F4AC2,yefpar5,exact
Alisterus scapularis,Alisterus scapularis,avibase-29DB0309,aukpar1,exact
Allenia fusca,Allenia fusca,avibase-C146593B,scbthr,exact
Alophoixus finschii,Iole finschii,avibase-F9E2A503,finbul1,clements_english
Alophoixus flaveolus,Alophoixus flaveolus,avibase-31754E31,whtbul1,exact
Alophoixus ochraceus,Alophoixus ochraceus,avibase-2BC35886,ochbul2,exact
Alophoixus pallidus,Alophoixus pallidus,avibase-C916F1C7,putbul1,exact
Alophoixus phaeocephalus,Alophoixus phaeocephalus,avibase-3499C2A5,yebbul2,exact
Alophoixus tephrogenys,Alophoixus tephrogenys,avibase-CA0141A1,gycbul2,exact
Alopochelidon fucata,Alopochelidon fucata,avibase-355CAC4F,tahswa2,exact
Alopochen aegyptiaca,Alopochen aegyptiaca,avibase-DA2F24E3,egygoo,exact
Amalocichla incerta,Amalocichla incerta,avibase-F6555990,legrob1,exact
Amandava amandava,Amandava amandava,avibase-F30FC757,redava,exact
Amaurolimnas concolor,Amaurolimnas concolor,avibase-C25C4DCB,unicra1,exact
Amaurornis isabellina,Amaurornis isabellina,avibase-535DB169,isabuh1,exact
Amaurornis moluccana,Amaurornis moluccana,avibase-8CB46BDE,rutbuh1,exact
Amaurornis phoenicurus,Amaurornis phoenicurus,avibase-F53518E3,whbwat1,exact
Amaurospiza concolor,Amaurospiza concolor,avibase-49B3835D,blusee1,exact
Amaurospiza moesta,Amaurospiza moesta,avibase-87CC9A17,blbsee3,exact
Amazilia luciae,Amazilia luciae,avibase-B1DACE3B,honeme1,exact
Amazilia rutila,Amazilia rutila,avibase-26A37098,cinhum1,exact
Amazilia tzacatl,Amazilia tzacatl,avibase-7739D5A5,rtlhum,exact
Amazilia yucatanensis,Amazilia yucatanensis,avibase-76D9954B,bubhum,exact
Amazilis amazilia,Amazilis amazilia,avibase-62AFA922,amahum1,exact
Amazona aestiva,Amazona aestiva,avibase-4B268FD2,bufpar,exact
Amazona agilis,Amazona agilis,avibase-EE676594,blbpar1,exact
Amazona albifrons,Amazona albifrons,avibase-DD669F07,whfpar1,exact
Amazona amazonica,Amazona amazonica,avibase-0F2066D5,orwpar,exact
Amazona auropalliata,Amazona auropalliata,avibase-74D1AE14,yenpar1,exact
Amazona autumnalis,Amazona autumnalis,avibase-56EC9CA9,relpar10,exact
Amazona brasiliensis,Amazona brasiliensis,avibase-5A7AF4AE,retpar1,exact
Amazona dufresniana,Amazona dufresniana,avibase-7B534E0C,blcpar2,exact
Amazona farinosa,Amazona farinosa,avibase-A05EF311,meapar,exact
Amazona festiva,Amazona festiva,avibase-428D51E8,fespar1,exact
Amazona finschi,Amazona finschi,avibase-66C32CC9,licpar,exact
Amazona kawalli,Amazona kawalli,avibase-7F4458FE,kawpar1,exact
Amazona leucocephala,Amazona leucocephala,avibase-8B2843E8,cubpar1,exact
Amazona mercenarius,Amazona mercenarius,avibase-CED01CA4,scnpar1,exact
Amazona ochrocephala,Amazona ochrocephala,avibase-45BCA1AA,ywcpar,exact
Amazona oratrix,Amazona oratrix,avibase-F9D03943,yehpar,exact
Amazona rhodocorytha,Amazona rhodocorytha,avibase-8FC55431,rebpar7,exact
Amazona tucumana,Amazona tucumana,avibase-D50220E9,tucpar1,exact
Amazona ventralis,Amazona ventralis,avibase-766B3C30,hispar1,exact
Amazona vinacea,Amazona vinacea,avibase-0FF89B76,vinpar1,exact
Amazona viridigenalis,Amazona viridigenalis,avibase-B1595124,recpar,exact
Amazona xantholora,Amazona xantholora,avibase-E0993B27,yelpar1,exact
Amazonetta brasiliensis,Amazonetta brasiliensis,avibase-DDFC6B2B,bratea1,exact
Amblycercus holosericeus,Amblycercus holosericeus,avibase-8DAADD7F,yebcac1,exact
Amblyornis newtoniana,Prionodura newtoniana,avibase-98C0C634,golbow1,clements_english
Amblyospiza albifrons,Amblyospiza albifrons,avibase-C7708C70,growea1,exact
Amblyramphus holosericeus,Amblyramphus holosericeus,avibase-50F297CC,schbla1,exact
Ammodramus aurifrons,Ammodramus aurifrons,avibase-02E3ACBD,yebspa1,exact
Ammodramus humeralis,Ammodramus humeralis,avibase-7C74D0E3,graspa1,exact
Ammodramus savannarum,Ammodramus savannarum,avibase-5BFFE091,graspa,exact
Ammomanes cinctura,Ammomanes cinctura,avibase-20A0844D,batlar1,exact
Ammomanes deserti,Ammomanes deserti,avibase-A977348D,deslar1,exact
Ammomanes phoenicura,Ammomanes phoenicura,avibase-0E1F8A50,rutlar2,exact
