scientific_name,name
Abeillia abeillei,コバシハチドリ
Abroscopus albogularis,コシジロムシクイ
Abroscopus schisticeps,カオグロムシクイ
Abroscopus superciliaris,マミジロムシクイ
Aburria aburri,ニクダレシャクケイ
Acanthagenys rufogularis,ケミミミツスイ
Acanthidops bairdi,ハシナガシトド
Acanthis flammea,ベニヒワ
Acanthisitta chloris,ミドリイワサザイ
Acanthiza apicalis,ヒロオトゲハシムシクイ
Acanthiza chrysorrhoa,コモントゲハシムシクイ
Acanthiza cinerea,ハイイロセンニョムシクイ
Acanthiza ewingii,タスマニアトゲハシムシクイ
Acanthiza inornata,ニシトゲハシムシクイ
Acanthiza iredalei,キゴシトゲハシムシクイ
Acanthiza katherina,ヤマトゲハシムシクイ
Acanthiza lineata,ムナフトゲハシムシクイ
Acanthiza murina,パプアトゲハシムシクイ
Acanthiza nana,ヒメトゲハシムシクイ
Acanthiza pusilla,チャイロトゲハシムシクイ
Acanthiza reguloides,ウグイストゲハシムシクイ
Acanthiza robustirostris,ハイイロトゲハシムシクイ
Acanthiza uropygialis,コシアカトゲハシムシクイ
Acanthorhynchus superciliosus,ニシキリハシミツスイ
Acanthorhynchus tenuirostris,キリハシミツスイ
Acanthornis magna,メジロヤブムシクイ
Accipiter chionogaster,ムナジロアシボソハイタカ
Accipiter erythronemius,モモアカアシボソハイタカ
Accipiter madagascariensis,マダガスカルハイタカ
Accipiter nisus,ハイタカ
Accipiter ovampensis,サバンナハイタカ
Accipiter poliogaster,セグロオオタカ
Accipiter rufiventris,ムネアカハイタカ
Accipiter striatus,アシボソハイタカ
Accipiter ventralis,フナシアシボソハイタカ
Aceros nipalensis,ナナミゾサイチョウ
Achaetops pycnopygius,イワトビムシクイ
Acridotheres albocinctus,シロエリハッカ
Acridotheres burmannicus,シロガシラムクドリ
Acridotheres cinereus,ハッカ
Acridotheres cristatellus,ハッカチョウ
Acridotheres fuscus,モリハッカ
Acridotheres ginginianus,ハイイロハッカ
Acridotheres grandis,オオハッカ
Acridotheres javanicus,ジャワハッカ
Acridotheres melanopterus,ソデグロムクドリ
Acridotheres tristis,インドハッカ
Acritillas indica,キマユヒヨドリ
Acrobatornis fonsecai,アクロバットカマドドリ
Acrocephalus aequinoctialis,クリスマスヨシキリ
Acrocephalus agricola,イナダヨシキリ
Acrocephalus arundinaceus,ニシオオヨシキリ
Acrocephalus astrolabii,マンガレヴァヨシキリ
Acrocephalus atyphus,ツアモツヨシキリ
Acrocephalus australis,オーストラリアヨシキリ
Acrocephalus bistrigiceps,コヨシキリ
Acrocephalus brevipennis,ケープベルデアシナガヨシキリ
Acrocephalus caffer,ハシナガヨシキリ
Acrocephalus concinens,コバネヨシキリ
Acrocephalus dumetorum,ヤブヨシキリ
Acrocephalus familiaris,レイサンヨシキリ
Acrocephalus gracilirostris,アシナガヨシキリ
Acrocephalus griseldis,バスラオオヨシキリ
Acrocephalus hiwae,サイパンヨシキリ
Acrocephalus kerearako,クックヨシキリ
Acrocephalus longirostris,モーレアヨシキリ
Acrocephalus luscinius,ナンヨウヨシキリ
Acrocephalus melanopogon,マミジロヨシキリ
Acrocephalus mendanae,マルケサスヨシキリ
Acrocephalus musae,ソシエテヨシキリ
Acrocephalus newtoni,マダガスカルアシナガヨシキリ
Acrocephalus nijoi,アギハンヨシキリ
Acrocephalus orientalis,オオヨシキリ
Acrocephalus orinus,オオハシヨシキリ
Acrocephalus paludicola,ハシボソヨシキリ
Acrocephalus palustris,ヌマヨシキリ
Acrocephalus percernis,キタマルケサスヨシキリ
Acrocephalus rehsei,ギルバートヨシキリ
Acrocephalus rimitarae,ツバイヨシキリ
Acrocephalus rodericanus,ロドリゲスヤブセンニュウ
Acrocephalus rufescens,オオアシナガヨシキリ
Acrocephalus schoenobaenus,スゲヨシキリ
Acrocephalus scirpaceus,ヨーロッパヨシキリ
Acrocephalus sechellensis,セーシェルヤブセンニュウ
Acrocephalus sorghophilus,セスジコヨシキリ
